timestamps,age,gender,shopping_frequency,amazon,noon,shein,other,reads_reviews,prefer_high_ratings,avoid_negative_reviews,trust_user_reviews,image_influence,fake_reviews_belief,buy_if_fake_reviews,real_images,detailed_info,many_reviews,recent_reviews,review_influence_binary
2026/03/22 10:01:32 م غرينتش+3,1,0,1,1,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0
2026/03/22 10:03:05 م غرينتش+3,1,0,1,1,1,1,1,1,4,3,4,2,0,1,0,1,1,1,0
2026/03/22 10:06:13 م غرينتش+3,1,0,1,1,1,0,1,3,4,3,2,4,0,1,1,1,1,1,1
2026/03/22 10:36:38 م غرينتش+3,3,0,0,1,1,1,1,3,4,4,4,4,1,1,1,0,0,0,1
2026/03/22 10:55:48 م غرينتش+3,3,1,1,0,0,0,1,4,4,4,4,2,1,2,0,0,1,0,1
2026/03/22 11:06:56 م غرينتش+3,3,1,2,1,1,1,1,4,4,4,4,4,0,2,1,1,1,1,1
2026/03/23 1:28:41 ص غرينتش+3,1,0,1,1,1,1,1,4,4,4,3,3,1,0,1,0,1,0,1
2026/03/23 1:35:51 ص غرينتش+3,1,0,2,1,1,1,1,2,4,2,2,2,1,0,0,0,1,1,1
2026/03/23 1:56:05 ص غرينتش+3,0,0,1,1,1,1,1,3,2,2,3,4,1,0,1,1,0,0,1
2026/03/23 2:04:25 ص غرينتش+3,1,0,1,1,1,1,1,3,4,4,4,4,1,2,1,0,1,0,1
2026/03/23 2:37:22 ص غرينتش+3,1,0,0,1,1,1,1,4,3,4,3,4,1,2,0,0,1,0,1
2026/03/23 4:01:15 م غرينتش+3,3,0,1,1,1,1,1,4,4,0,2,2,0,1,0,0,0,1,0
2026/03/23 4:05:25 م غرينتش+3,2,0,1,1,1,1,1,2,4,4,4,2,1,1,1,0,0,0,1
2026/03/23 4:06:34 م غرينتش+3,3,0,3,0,0,1,1,3,3,4,4,4,1,1,1,1,1,1,1
2026/03/23 4:09:07 م غرينتش+3,3,0,1,1,1,1,1,1,4,2,2,3,1,1,1,0,0,0,1
2026/03/23 4:10:21 م غرينتش+3,3,0,1,0,1,1,0,1,2,2,3,3,1,1,1,0,0,0,1
2026/03/23 4:16:04 م غرينتش+3,3,0,3,1,1,1,1,2,3,4,2,3,1,2,0,0,0,1,1
2026/03/23 4:17:55 م غرينتش+3,3,0,2,1,1,1,1,4,4,4,4,3,1,0,0,0,1,0,1
2026/03/23 4:21:11 م غرينتش+3,3,0,3,1,1,1,1,3,1,4,3,3,2,1,0,0,1,0,1
2026/03/23 4:26:29 م غرينتش+3,3,1,3,1,1,1,1,4,4,4,4,4,0,2,0,1,0,1,1
2026/03/23 4:27:27 م غرينتش+3,2,0,1,1,1,1,1,4,3,2,3,2,1,2,1,1,1,1,1
2026/03/23 4:28:58 م غرينتش+3,3,0,1,1,1,1,1,2,1,3,3,3,1,2,1,0,0,0,1
2026/03/23 4:32:49 م غرينتش+3,2,0,0,0,0,1,0,4,3,3,3,3,1,1,1,0,0,0,1
2026/03/23 4:37:17 م غرينتش+3,3,0,0,1,1,1,1,1,1,2,1,3,0,1,1,0,0,0,0
2026/03/23 4:38:38 م غرينتش+3,1,1,1,1,1,1,1,0,2,2,2,4,0,2,1,0,0,0,0
2026/03/23 4:42:59 م غرينتش+3,3,0,1,0,0,0,1,1,2,3,0,3,0,1,0,1,1,0,0
2026/03/23 4:50:03 م غرينتش+3,3,0,1,1,1,1,1,4,4,4,4,4,2,1,1,1,1,1,1
2026/03/23 5:01:41 م غرينتش+3,2,0,3,1,1,1,1,2,4,3,3,3,1,2,1,0,0,0,0
2026/03/23 5:10:10 م غرينتش+3,3,0,2,1,1,1,1,4,4,4,4,4,1,1,1,0,0,0,1
2026/03/23 5:16:58 م غرينتش+3,3,0,0,1,1,1,1,4,3,4,3,3,1,1,0,0,0,1,1
2026/03/23 5:45:30 م غرينتش+3,3,0,1,1,1,1,1,3,3,4,4,4,2,1,0,0,1,0,1
2026/03/23 6:02:29 م غرينتش+3,3,0,1,0,0,0,1,4,2,4,4,4,1,2,0,0,0,1,1
2026/03/23 6:04:58 م غرينتش+3,3,0,1,1,1,1,1,3,4,4,4,3,0,0,1,0,0,0,1
2026/03/23 6:50:09 م غرينتش+3,3,0,1,1,1,1,1,2,3,4,3,2,1,2,0,0,1,0,0
2026/03/23 6:52:46 م غرينتش+3,3,1,1,1,1,1,1,4,4,3,2,1,1,2,0,0,1,0,1
2026/03/23 7:23:23 م غرينتش+3,3,1,2,1,1,1,1,2,2,3,3,3,1,1,0,0,1,0,1
2026/03/23 7:26:14 م غرينتش+3,2,0,1,1,1,1,1,4,4,2,3,4,2,1,1,1,1,0,1
2026/03/23 7:37:35 م غرينتش+3,3,0,1,1,1,1,1,1,2,3,3,2,1,1,1,0,0,0,1
2026/03/23 7:47:31 م غرينتش+3,3,0,2,1,1,1,1,2,4,4,2,3,1,2,0,0,1,0,1
2026/03/23 8:11:36 م غرينتش+3,3,0,2,1,1,1,1,3,4,4,4,4,0,2,1,0,0,0,1
2026/03/23 8:16:22 م غرينتش+3,3,0,2,1,1,1,1,2,3,3,3,3,1,0,0,1,0,0,1
2026/03/23 8:18:15 م غرينتش+3,3,0,1,0,0,0,1,4,3,0,4,3,1,1,1,0,0,0,1
2026/03/23 8:31:51 م غرينتش+3,2,0,1,1,1,1,1,4,4,4,4,4,0,2,1,1,1,1,1
2026/03/23 8:49:50 م غرينتش+3,1,0,2,1,1,1,1,4,4,4,4,4,1,2,1,0,1,0,1
2026/03/23 8:51:50 م غرينتش+3,1,0,1,1,1,1,1,3,1,1,3,4,0,1,1,0,0,0,1
2026/03/23 9:01:56 م غرينتش+3,2,1,1,0,0,0,1,2,2,1,2,2,1,2,0,1,0,1,0
2026/03/23 9:15:04 م غرينتش+3,3,1,0,1,1,1,1,4,4,4,4,2,1,2,0,0,0,1,1
2026/03/23 9:16:50 م غرينتش+3,3,0,0,1,1,1,1,4,4,2,2,3,1,1,1,1,1,1,1
2026/03/23 9:30:01 م غرينتش+3,1,0,2,0,0,0,1,3,2,3,4,4,0,2,1,0,0,0,1
2026/03/23 9:30:17 م غرينتش+3,2,0,2,0,0,0,1,4,4,3,3,4,1,2,1,0,0,0,1
2026/03/23 9:36:44 م غرينتش+3,1,0,2,0,1,0,0,4,2,2,0,4,2,2,0,0,0,1,1
2026/03/23 9:39:53 م غرينتش+3,1,0,1,0,0,1,0,4,2,3,2,3,1,1,1,0,0,0,0
2026/03/23 9:40:36 م غرينتش+3,3,0,0,1,1,1,1,4,4,3,4,4,1,2,0,0,1,0,1
2026/03/23 9:50:06 م غرينتش+3,3,0,2,0,0,0,1,2,4,3,3,4,1,1,0,0,1,0,1
2026/03/23 9:50:32 م غرينتش+3,3,0,1,0,0,1,1,3,2,2,2,3,0,1,1,1,0,0,0
2026/03/23 10:00:57 م غرينتش+3,3,0,1,1,1,1,1,4,4,3,3,3,1,0,1,1,1,1,1
2026/03/23 10:04:31 م غرينتش+3,3,1,0,1,0,0,0,2,3,4,3,3,0,2,0,0,1,0,1
2026/03/23 10:12:29 م غرينتش+3,3,1,2,1,1,1,1,4,3,2,3,2,1,1,0,0,0,1,1
2026/03/23 10:12:33 م غرينتش+3,2,1,1,1,1,1,1,4,4,4,4,4,1,2,1,0,0,0,1
2026/03/23 10:13:49 م غرينتش+3,3,1,2,1,1,1,1,4,4,1,3,2,1,1,0,0,1,0,1
2026/03/23 10:15:59 م غرينتش+3,3,1,0,1,1,1,1,4,1,2,2,3,2,0,1,1,1,1,1
2026/03/23 10:16:48 م غرينتش+3,3,1,0,1,1,1,1,0,2,0,2,4,0,1,1,0,0,0,0
2026/03/23 10:20:28 م غرينتش+3,0,1,0,1,1,1,1,4,3,3,2,4,0,1,1,0,1,1,1
2026/03/23 10:20:38 م غرينتش+3,3,0,0,1,1,1,1,4,4,4,2,4,1,1,0,1,0,0,1
2026/03/23 10:21:25 م غرينتش+3,0,1,2,1,1,1,1,2,4,3,4,4,0,1,0,0,1,0,0
2026/03/23 10:22:28 م غرينتش+3,3,0,1,0,0,0,1,4,4,4,3,4,2,2,0,0,0,1,1
2026/03/23 10:23:57 م غرينتش+3,3,1,2,0,0,0,1,3,3,4,2,2,1,2,1,0,0,0,1
2026/03/23 10:24:14 م غرينتش+3,3,0,0,1,1,1,1,4,3,3,3,3,0,2,0,0,1,0,1
2026/03/23 10:25:02 م غرينتش+3,3,0,0,0,0,1,0,4,4,0,2,2,0,0,0,0,0,1,1
2026/03/23 10:26:29 م غرينتش+3,3,0,2,1,1,1,1,4,4,2,4,3,2,2,0,0,1,0,1
2026/03/23 10:28:43 م غرينتش+3,3,0,1,0,0,1,0,4,4,4,4,4,1,2,1,1,0,0,1
2026/03/23 10:29:29 م غرينتش+3,3,0,1,0,0,0,1,4,4,3,3,4,2,2,1,0,0,0,1
2026/03/23 10:31:43 م غرينتش+3,3,0,1,0,1,0,0,3,4,3,3,2,0,2,0,0,0,1,1
2026/03/23 10:32:30 م غرينتش+3,3,0,1,1,1,1,1,4,4,4,4,4,1,2,1,1,0,1,1
2026/03/23 10:35:19 م غرينتش+3,2,0,0,1,0,1,1,3,3,2,2,4,0,2,1,0,0,1,1
2026/03/23 10:38:56 م غرينتش+3,3,0,0,0,0,1,1,2,2,4,0,3,1,0,1,0,0,0,0
2026/03/23 10:40:14 م غرينتش+3,1,1,3,1,1,0,1,4,3,3,2,2,1,2,1,1,1,1,0
2026/03/23 10:41:38 م غرينتش+3,3,0,0,0,1,0,0,1,2,3,3,3,0,2,0,0,1,0,1
2026/03/23 10:48:10 م غرينتش+3,3,0,0,1,0,0,1,3,3,3,2,2,1,2,0,1,0,0,1
2026/03/23 10:50:46 م غرينتش+3,3,0,1,0,0,0,1,3,4,4,3,4,1,0,0,0,0,1,1
2026/03/23 10:52:04 م غرينتش+3,3,0,1,1,1,1,1,4,4,3,4,4,0,2,1,1,1,1,1
2026/03/23 10:53:06 م غرينتش+3,3,0,1,0,0,1,0,3,3,3,3,2,1,0,0,0,0,1,1
2026/03/23 10:57:50 م غرينتش+3,3,0,1,0,0,0,1,3,4,4,4,3,1,2,0,0,1,0,1
2026/03/23 11:09:35 م غرينتش+3,3,0,0,0,0,1,0,3,3,0,3,2,1,0,0,0,1,0,1
2026/03/23 11:19:27 م غرينتش+3,3,0,1,0,0,1,1,2,3,4,4,2,1,2,0,0,0,1,1
2026/03/23 11:22:46 م غرينتش+3,3,1,0,1,1,1,1,4,3,4,3,2,0,2,0,1,0,0,1
2026/03/23 11:30:37 م غرينتش+3,3,0,1,1,1,1,1,4,4,2,2,3,1,2,0,0,1,0,1
2026/03/23 11:40:17 م غرينتش+3,3,0,1,0,0,1,1,4,4,3,3,2,1,1,1,1,0,0,1
2026/03/23 11:55:44 م غرينتش+3,3,0,1,0,0,0,1,4,2,3,2,3,1,2,0,0,0,1,1
2026/03/24 12:00:45 ص غرينتش+3,3,0,1,0,0,0,1,4,4,4,4,4,1,1,0,0,0,1,1
2026/03/24 12:03:34 ص غرينتش+3,3,1,1,0,1,0,0,4,4,4,4,4,1,2,0,0,1,0,1
2026/03/24 12:08:20 ص غرينتش+3,3,0,2,1,1,1,1,4,3,2,2,4,0,1,1,1,0,0,1
2026/03/24 12:18:52 ص غرينتش+3,3,0,3,1,1,1,1,4,4,4,4,4,0,0,0,0,0,1,1
2026/03/24 12:36:10 ص غرينتش+3,3,0,1,0,0,1,0,3,2,3,1,4,1,2,1,0,1,1,1
2026/03/24 12:42:57 ص غرينتش+3,2,0,1,0,0,0,1,3,2,2,4,4,0,2,1,0,0,1,1
2026/03/24 12:44:59 ص غرينتش+3,2,0,0,1,1,1,1,4,3,3,3,3,0,2,1,0,0,1,1
2026/03/24 1:09:34 ص غرينتش+3,3,1,3,0,0,0,1,3,4,4,4,2,1,2,0,0,1,0,1
2026/03/24 1:20:22 ص غرينتش+3,3,1,1,1,1,1,1,2,3,3,3,3,1,1,0,1,0,0,1
2026/03/24 1:23:44 ص غرينتش+3,3,0,2,1,1,1,1,2,2,4,3,4,1,1,0,0,0,1,1
2026/03/24 1:27:44 ص غرينتش+3,3,0,1,1,0,1,0,2,1,2,1,1,0,1,0,1,0,0,0
2026/03/24 1:31:25 ص غرينتش+3,3,0,0,1,1,1,1,4,4,4,3,4,1,2,1,1,1,0,1
2026/03/24 1:42:21 ص غرينتش+3,3,1,1,1,1,1,1,4,4,4,4,4,1,1,1,0,0,1,1
2026/03/24 1:55:22 ص غرينتش+3,1,0,1,1,1,1,1,2,3,2,1,2,1,1,0,1,1,0,0
2026/03/24 2:06:50 ص غرينتش+3,3,0,1,1,1,1,1,2,3,4,4,4,1,0,0,0,1,0,1
2026/03/24 2:10:51 ص غرينتش+3,3,0,1,1,1,1,1,2,4,4,1,3,0,1,0,1,0,0,0
2026/03/24 2:12:56 ص غرينتش+3,3,0,3,1,1,1,1,1,4,4,0,4,1,1,1,0,0,0,1
2026/03/24 2:16:35 ص غرينتش+3,3,1,2,1,1,1,1,3,4,3,4,4,1,1,0,0,1,1,1
2026/03/24 2:19:24 ص غرينتش+3,1,1,1,1,1,1,1,4,4,3,3,2,0,1,0,0,1,0,1
2026/03/24 2:21:52 ص غرينتش+3,2,0,1,1,1,1,1,4,4,2,3,3,1,0,0,0,0,1,1
2026/03/24 2:31:28 ص غرينتش+3,2,0,0,0,1,0,0,2,3,3,3,2,1,2,0,0,0,1,1
2026/03/24 2:35:50 ص غرينتش+3,3,1,1,1,1,1,1,3,2,3,2,4,0,1,0,1,0,0,1
2026/03/24 2:38:04 ص غرينتش+3,3,0,2,1,1,1,1,4,4,4,4,4,2,2,1,0,1,1,1
2026/03/24 2:42:19 ص غرينتش+3,3,0,2,0,0,0,1,4,4,4,4,3,1,2,0,0,1,0,1
2026/03/24 2:52:05 ص غرينتش+3,3,0,0,1,0,0,0,1,2,3,2,3,1,1,0,0,1,0,0
2026/03/24 3:04:46 ص غرينتش+3,2,0,2,1,1,1,1,3,2,3,2,2,1,2,1,1,0,1,1
2026/03/24 3:07:34 ص غرينتش+3,3,1,2,0,1,0,0,2,2,4,4,4,0,2,1,0,0,0,1
2026/03/24 3:13:39 ص غرينتش+3,3,1,1,0,1,0,0,4,4,4,4,4,0,2,1,0,0,0,1
2026/03/24 3:20:41 ص غرينتش+3,3,0,1,0,0,1,0,4,4,4,4,4,1,2,0,0,1,0,1
2026/03/24 3:22:49 ص غرينتش+3,3,0,1,1,1,1,0,4,4,4,4,4,2,2,0,0,1,0,1
2026/03/24 3:52:21 ص غرينتش+3,3,0,0,1,0,1,0,2,4,3,1,2,0,1,0,1,0,0,1
2026/03/24 3:54:18 ص غرينتش+3,1,1,2,1,1,1,1,2,2,4,4,4,0,1,1,1,0,0,0
2026/03/24 4:37:39 ص غرينتش+3,3,0,2,0,1,0,0,4,4,4,4,3,1,1,0,0,1,0,1
2026/03/24 5:22:29 ص غرينتش+3,3,0,1,1,1,1,0,3,4,3,4,4,2,2,1,0,1,0,1
2026/03/24 5:24:16 ص غرينتش+3,3,0,2,1,1,1,1,4,4,4,4,3,1,2,0,1,0,1,1
2026/03/24 5:47:44 ص غرينتش+3,3,0,0,0,0,1,0,3,3,3,3,3,1,1,0,0,1,0,1
2026/03/24 5:59:32 ص غرينتش+3,3,0,0,1,1,1,1,2,2,3,4,3,1,2,0,0,1,0,1
2026/03/24 6:32:56 ص غرينتش+3,3,0,2,1,0,0,1,4,4,3,3,4,1,2,1,0,1,0,1
2026/03/24 10:29:19 ص غرينتش+3,1,1,3,0,1,0,1,1,2,2,2,3,0,0,1,1,1,1,0
2026/03/24 10:54:11 ص غرينتش+3,2,0,2,1,1,1,1,3,3,3,3,3,0,1,1,0,0,0,1
2026/03/24 11:00:29 ص غرينتش+3,3,0,0,1,1,1,1,4,0,4,4,2,0,2,0,1,0,0,1
2026/03/24 11:21:17 ص غرينتش+3,3,0,0,1,1,1,1,4,3,2,3,2,1,2,0,1,0,0,1
2026/03/24 11:21:33 ص غرينتش+3,2,0,2,1,1,1,1,4,4,4,4,4,0,2,1,1,1,1,1
2026/03/24 11:28:08 ص غرينتش+3,3,0,2,1,1,1,1,4,4,1,4,4,0,1,1,0,1,1,1
2026/03/24 12:28:19 م غرينتش+3,3,0,0,1,0,0,0,4,3,4,3,3,1,2,1,0,0,0,1
2026/03/24 12:57:57 م غرينتش+3,3,0,0,0,1,0,0,4,3,3,3,3,1,2,0,1,0,0,1
2026/03/24 1:09:22 م غرينتش+3,3,0,2,1,1,1,1,4,4,3,2,4,0,2,1,0,0,0,1
2026/03/24 1:16:40 م غرينتش+3,3,0,1,0,1,1,0,4,3,0,3,4,1,2,1,1,0,0,1
2026/03/24 1:33:00 م غرينتش+3,3,0,1,0,0,0,1,2,3,3,3,3,1,2,1,0,0,0,1
2026/03/24 1:33:24 م غرينتش+3,3,0,1,0,0,1,0,4,1,3,3,3,1,2,1,0,0,0,1
2026/03/24 1:46:07 م غرينتش+3,3,0,0,1,0,0,0,2,3,4,3,3,1,1,1,0,0,1,1
2026/03/24 1:59:44 م غرينتش+3,3,0,1,0,0,1,0,4,3,4,3,3,0,1,1,0,0,0,1
2026/03/24 2:04:01 م غرينتش+3,3,0,3,0,0,0,1,1,4,3,2,2,1,1,0,1,0,0,1
2026/03/24 2:10:40 م غرينتش+3,3,0,1,1,1,1,0,2,3,3,2,3,1,2,1,1,0,0,1
2026/03/24 2:26:34 م غرينتش+3,3,0,1,1,0,1,0,3,2,3,3,3,1,2,0,0,1,0,1
2026/03/24 2:26:51 م غرينتش+3,3,1,1,1,0,0,0,4,3,3,3,2,1,2,0,0,0,1,0
2026/03/24 2:28:12 م غرينتش+3,3,0,1,0,0,1,0,4,4,4,3,4,2,2,1,0,0,0,1
2026/03/24 2:28:20 م غرينتش+3,3,0,0,0,1,1,0,4,4,4,4,4,1,2,1,1,1,1,1
2026/03/24 2:34:29 م غرينتش+3,3,0,0,0,0,1,0,4,4,3,2,3,1,2,1,0,0,0,1
2026/03/24 3:07:44 م غرينتش+3,3,0,1,0,1,0,1,3,4,4,3,3,1,2,1,1,1,0,1
2026/03/24 3:12:28 م غرينتش+3,3,0,3,1,0,0,0,0,4,4,2,0,0,2,0,0,1,0,1
2026/03/24 3:14:49 م غرينتش+3,3,0,1,0,1,0,0,4,4,4,4,4,1,2,1,0,0,0,1
2026/03/24 3:15:14 م غرينتش+3,3,0,0,0,0,1,0,4,4,4,2,4,1,2,1,0,0,0,1
2026/03/24 3:21:19 م غرينتش+3,3,0,1,1,0,0,0,1,3,4,2,0,0,2,0,1,0,0,0
2026/03/24 3:24:20 م غرينتش+3,3,0,1,0,0,0,1,4,4,4,3,3,1,2,1,0,0,0,1
2026/03/24 3:33:07 م غرينتش+3,2,0,2,1,1,1,1,4,4,4,4,4,1,2,0,0,1,0,1
2026/03/24 3:39:40 م غرينتش+3,3,0,1,0,0,1,0,4,4,3,3,3,1,1,1,0,0,0,1
2026/03/24 3:44:51 م غرينتش+3,3,0,2,0,1,0,0,3,4,4,4,4,1,2,0,0,1,0,1
2026/03/24 3:51:14 م غرينتش+3,3,0,2,1,0,0,0,4,4,4,4,4,0,2,0,1,0,0,1
2026/03/24 3:54:09 م غرينتش+3,3,0,3,0,0,1,0,4,4,3,4,4,1,2,0,0,1,0,1
2026/03/24 3:54:43 م غرينتش+3,3,1,3,0,0,0,1,2,2,2,2,2,0,1,1,0,0,0,0
2026/03/24 4:08:44 م غرينتش+3,3,0,1,0,1,1,1,4,4,4,4,4,1,2,1,1,0,1,1
2026/03/24 4:16:51 م غرينتش+3,3,0,1,0,1,0,0,3,4,4,3,3,1,1,0,1,0,0,1
2026/03/24 4:17:10 م غرينتش+3,3,0,1,0,1,1,0,4,4,4,2,3,1,0,1,1,1,0,1
2026/03/24 4:27:43 م غرينتش+3,3,0,1,0,1,1,1,4,4,3,3,3,1,2,0,0,1,0,1
2026/03/24 4:51:22 م غرينتش+3,3,0,0,0,0,1,0,4,3,4,2,4,1,1,1,0,0,0,1
2026/03/24 4:56:52 م غرينتش+3,2,0,1,0,0,0,1,3,4,3,4,4,1,2,1,1,1,1,1
2026/03/24 5:05:21 م غرينتش+3,3,0,2,0,0,0,1,4,4,4,4,3,1,2,0,0,1,0,1
2026/03/24 5:31:14 م غرينتش+3,3,0,2,1,0,1,0,4,4,3,2,4,1,2,1,0,1,0,1
2026/03/24 6:16:39 م غرينتش+3,3,0,1,0,0,1,1,3,4,3,3,4,1,1,1,1,1,1,1
2026/03/24 6:25:05 م غرينتش+3,3,0,3,1,1,1,1,4,4,4,4,4,1,2,0,0,0,1,1
2026/03/24 6:41:32 م غرينتش+3,3,0,2,0,0,0,1,4,4,0,4,4,0,2,1,0,0,0,1
2026/03/24 6:55:38 م غرينتش+3,3,0,1,0,0,0,1,2,3,2,2,4,1,2,1,0,0,0,1
2026/03/24 7:04:37 م غرينتش+3,1,0,0,0,0,0,1,4,1,4,2,4,0,1,1,1,1,0,1
2026/03/24 7:09:46 م غرينتش+3,1,0,1,1,0,1,1,3,4,4,4,4,0,1,1,0,1,0,1
2026/03/24 7:11:29 م غرينتش+3,1,0,2,1,0,0,1,3,2,3,1,4,1,1,1,0,0,0,1
2026/03/24 7:14:52 م غرينتش+3,1,0,2,0,0,0,1,3,4,3,2,3,0,2,1,1,1,1,1
2026/03/24 7:16:06 م غرينتش+3,1,0,1,0,0,0,1,4,3,3,4,4,2,1,1,0,0,0,1
2026/03/24 7:25:32 م غرينتش+3,1,0,1,0,1,1,0,4,4,4,4,3,0,2,1,1,1,1,1
2026/03/24 7:40:05 م غرينتش+3,1,0,1,0,0,1,1,3,4,4,2,4,1,2,1,1,0,0,1
2026/03/24 7:41:26 م غرينتش+3,1,0,1,0,1,1,0,4,2,2,3,3,2,2,1,0,0,1,1
2026/03/24 7:41:30 م غرينتش+3,1,0,1,0,1,1,0,4,2,2,3,3,2,2,1,0,0,1,1
2026/03/24 7:41:32 م غرينتش+3,1,0,1,0,1,1,0,4,2,2,3,3,2,2,1,0,0,1,1
2026/03/24 7:48:08 م غرينتش+3,3,0,1,0,1,1,1,2,3,4,4,4,1,2,1,0,0,0,1
2026/03/24 7:50:57 م غرينتش+3,1,0,2,1,1,0,0,3,3,2,4,3,1,1,0,1,1,0,1
2026/03/24 7:57:07 م غرينتش+3,1,0,2,0,1,0,0,4,4,3,4,4,1,2,1,0,1,0,1
2026/03/24 8:05:39 م غرينتش+3,3,0,2,1,0,0,0,4,3,3,4,3,1,0,1,0,0,0,1
2026/03/24 8:13:02 م غرينتش+3,1,0,2,1,1,1,0,4,2,4,4,4,1,1,1,0,0,1,1
2026/03/24 8:18:34 م غرينتش+3,3,1,1,0,1,0,0,2,3,2,0,0,0,2,0,0,0,1,0
2026/03/24 8:22:17 م غرينتش+3,1,0,1,0,0,1,0,2,3,3,3,2,2,0,1,0,0,0,0
2026/03/24 8:55:03 م غرينتش+3,3,1,0,0,1,0,0,2,4,4,4,4,1,2,1,0,0,0,1
2026/03/24 9:04:31 م غرينتش+3,3,1,1,1,0,0,0,4,4,3,4,4,1,2,1,0,0,0,1
2026/03/24 9:05:52 م غرينتش+3,1,1,1,1,1,0,1,4,3,3,3,2,0,1,0,1,1,0,1
2026/03/24 9:06:35 م غرينتش+3,3,1,1,1,0,0,0,3,3,3,2,3,1,2,0,1,0,0,1
2026/03/24 9:07:25 م غرينتش+3,3,1,1,0,0,0,1,3,3,2,3,2,1,1,0,0,1,0,1
2026/03/24 9:07:28 م غرينتش+3,3,1,2,1,0,0,0,4,4,2,4,3,2,2,0,0,1,0,1
2026/03/24 9:08:29 م غرينتش+3,2,1,0,0,1,0,0,4,3,1,2,2,1,1,0,0,1,0,1
2026/03/24 9:10:13 م غرينتش+3,3,1,3,0,0,0,1,4,3,4,4,1,1,2,0,0,1,0,0
2026/03/24 9:13:44 م غرينتش+3,3,1,1,0,0,0,1,4,4,4,4,4,1,2,0,1,0,0,1
2026/03/24 9:16:59 م غرينتش+3,3,1,2,1,1,1,1,2,1,2,3,3,0,1,1,0,1,1,0
2026/03/24 9:21:42 م غرينتش+3,3,1,1,0,1,0,0,3,3,3,2,2,0,1,0,1,0,0,1
2026/03/24 9:24:13 م غرينتش+3,3,1,2,0,0,0,1,4,4,3,2,3,1,2,0,0,1,0,1